Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
408,Ricky Rubio\rubiori01,PG,30,MIN,38,23,25.8,2.8,7.0,.401,0.8,2.5,.316,2.0,4.5,.448,.457,2.1,2.5,.830,0.4,2.7,3.1,6.7,1.3,0.0,2.0,2.2,8.5
409,D'Angelo Russell\russeda01,PG,24,MIN,20,19,29.2,7.0,16.3,.426,3.0,7.4,.399,4.0,8.9,.449,.517,2.4,3.2,.750,0.5,2.2,2.6,5.1,1.1,0.5,2.7,2.0,19.3
410,Domantas Sabonis\sabondo01,PF,24,IND,39,39,36.5,7.8,14.7,.530,0.9,2.7,.327,6.9,12.0,.575,.559,4.0,5.6,.714,2.5,8.7,11.2,6.4,1.1,0.6,3.4,3.5,20.4
411,Luka Šamanić\samanlu01,PF,21,SAS,13,1,9.6,1.3,3.1,.425,0.6,1.8,.333,0.7,1.2,.563,.525,0.5,1.0,.538,0.5,1.9,2.5,0.2,0.2,0.2,0.6,0.9,3.8
412,JaKarr Sampson\sampsja02,PF,27,IND,15,0,6.5,1.0,2.1,.469,0.1,0.3,.200,0.9,1.8,.519,.484,0.5,0.7,.800,0.5,1.4,1.9,0.1,0.1,0.2,0.4,0.7,2.6
413,Dario Šarić\saricda01,C,26,PHO,20,0,18.9,4.2,8.4,.494,1.4,3.5,.386,2.8,4.9,.571,.574,1.9,2.1,.902,0.8,3.4,4.2,1.4,0.7,0.2,1.4,2.3,11.5
414,Tomáš Satoranský\satorto01,SG,29,CHI,28,3,21.7,2.6,5.2,.510,0.8,1.9,.426,1.8,3.3,.560,.590,1.2,1.3,.919,0.4,2.1,2.6,4.6,0.6,0.2,1.6,1.3,7.3
415,Dennis Schröder\schrode01,SG,27,LAL,36,36,31.3,5.1,11.7,.436,1.0,3.1,.318,4.1,8.6,.477,.477,3.4,4.2,.827,0.5,2.9,3.4,4.6,1.0,0.3,2.5,2.6,14.6
416,Mike Scott\scottmi01,PF,32,PHI,22,4,16.9,1.5,3.8,.386,1.0,2.9,.349,0.5,0.9,.500,.518,0.2,0.3,.571,0.2,2.4,2.6,0.4,0.5,0.1,0.5,1.0,4.1
417,Collin Sexton\sextoco01,SG,22,CLE,35,35,35.9,8.7,18.1,.477,1.6,4.3,.377,7.0,13.8,.508,.522,4.8,5.9,.812,0.7,2.0,2.7,4.3,1.1,0.1,2.8,2.8,23.7
